year,n_funded,ai_funded,n_domain,ai_domain,n_all,ai_all,share_all,share_funded,share_domain
2005,4747,281,30549,1003,30564,1011,3.31,5.92,3.28
2006,5143,295,31388,1074,31416,1091,3.47,5.74,3.42
2007,5735,366,33691,1269,33713,1281,3.8,6.38,3.77
2008,5366,381,34977,1416,34999,1429,4.08,7.1,4.05
2009,6083,508,37502,1694,37528,1708,4.55,8.35,4.52
2010,7176,607,41491,1985,41513,1996,4.81,8.46,4.78
2011,7655,815,40537,2353,40562,2365,5.83,10.65,5.8
2012,8607,1004,44636,2944,44698,2970,6.64,11.66,6.6
2013,8922,1215,45357,3539,45414,3577,7.88,13.62,7.8
2014,9946,1472,50307,4538,50374,4577,9.09,14.8,9.02
2015,10775,1677,54032,5685,54150,5764,10.64,15.56,10.52
2016,9999,1766,52362,6901,52472,6987,13.32,17.66,13.18
2017,10145,1808,53248,7803,53401,7922,14.83,17.82,14.65
2018,9856,1815,50395,7928,50542,8038,15.9,18.42,15.73
2019,9004,1770,44386,7470,44522,7568,17.0,19.66,16.83
2020,8919,1840,42907,7347,43043,7449,17.31,20.63,17.12
2021,8151,1790,35806,6694,35978,6812,18.93,21.96,18.7
2022,5508,1564,22620,5684,22800,5818,25.52,28.4,25.13
2023,4680,2131,17717,7617,17947,7812,43.53,45.53,42.99
2024,3006,1676,10378,5387,10562,5534,52.4,55.76,51.91
2025,1089,744,2470,1451,2531,1492,58.95,68.32,58.74
